,Ether
0,99.99130200000945
1,299.97390600002836
2,599.9478119999985
3,999.9130200000363
4,1499.8695300000254
5,2099.8173410000163
6,2799.756453000009
7,3599.6868660000036
8,4499.608579000051
9,5499.521592000034
